|vl|00005|0|-4.7759e-02|2.2975e-01|-9.0498e-01|3.0206e-04|-2.6701e-04|4.0825e-04|
|vl|00005|2|-1.3336e-02|1.9637e-01|-8.4925e-01|2.7065e-04|-2.8930e-04|5.1970e-04|
|vl|00005|4|1.7089e-02|1.6040e-01|-7.8101e-01|2.3572e-04|-3.1022e-04|6.1683e-04|
|vl|00005|6|4.3222e-02|1.2203e-01|-7.0202e-01|1.9942e-04|-3.2942e-04|6.9882e-04|
|vl|00005|8|6.5010e-02|8.1494e-02|-6.1411e-01|1.6353e-04|-3.4641e-04|7.6563e-04|
|vl|00005|10|8.2587e-02|3.9075e-02|-5.1906e-01|1.2943e-04|-3.6070e-04|8.1780e-04|
|vl|00005|12|9.6227e-02|-4.8697e-03|-4.1858e-01|9.8043e-05|-3.7181e-04|8.5631e-04|
|vl|00005|14|1.0629e-01|-4.9936e-02|-3.1425e-01|6.9887e-05|-3.7938e-04|8.8233e-04|
|vl|00005|16|1.1318e-01|-9.5685e-02|-2.0747e-01|4.5167e-05|-3.8317e-04|8.9716e-04|
|vl|00005|18|1.1731e-01|-1.4165e-01|-9.9516e-02|2.3840e-05|-3.8308e-04|9.0211e-04|
|vl|00005|20|1.1907e-01|-1.8738e-01|8.5010e-03|5.6944e-06|-3.7910e-04|8.9842e-04|
|vl|00005|22|1.1883e-01|-2.3239e-01|1.1562e-01|-9.5798e-06|-3.7136e-04|8.8723e-04|
|vl|00005|24|1.1691e-01|-2.7626e-01|2.2099e-01|-2.2345e-05|-3.6004e-04|8.6956e-04|
|vl|00005|26|1.1359e-01|-3.1857e-01|3.2390e-01|-3.2978e-05|-3.4540e-04|8.4632e-04|
|vl|00005|28|1.0910e-01|-3.5893e-01|4.2373e-01|-4.1843e-05|-3.2771e-04|8.1829e-04|
|vl|00005|30|1.0363e-01|-3.9701e-01|5.1995e-01|-4.9282e-05|-3.0729e-04|7.8615e-04|
|vl|00005|32|9.7343e-02|-4.3248e-01|6.1209e-01|-5.5600e-05|-2.8443e-04|7.5047e-04|
|vl|00005|34|9.0345e-02|-4.6508e-01|6.9976e-01|-6.1066e-05|-2.5945e-04|7.1175e-04|
|vl|00005|36|8.2727e-02|-4.9457e-01|7.8263e-01|-6.5913e-05|-2.3265e-04|6.7039e-04|
|vl|00005|38|7.4553e-02|-5.2075e-01|8.6039e-01|-7.0337e-05|-2.0430e-04|6.2674e-04|
|vl|00005|40|6.5864e-02|-5.4346e-01|9.3280e-01|-7.4502e-05|-1.7469e-04|5.8111e-04|
|vl|00005|42|5.6682e-02|-5.6254e-01|9.9963e-01|-7.8540e-05|-1.4405e-04|5.3374e-04|
|vl|00005|44|4.7016e-02|-5.7791e-01|1.0607e+00|-8.2561e-05|-1.1263e-04|4.8483e-04|
|vl|00005|46|3.6863e-02|-5.8947e-01|1.1158e+00|-8.6648e-05|-8.0637e-05|4.3458e-04|
|vl|00005|48|2.6212e-02|-5.9718e-01|1.1648e+00|-9.0866e-05|-4.8291e-05|3.8312e-04|
|vl|00005|50|1.5044e-02|-6.0100e-01|1.2076e+00|-9.5260e-05|-1.5781e-05|3.3059e-04|
|vl|00005|52|3.3369e-03|-6.0092e-01|1.2440e+00|-9.9860e-05|1.6710e-05|2.7711e-04|
|vl|00005|54|-8.9355e-03|-5.9695e-01|1.2740e+00|-1.0468e-04|4.9004e-05|2.2276e-04|
|vl|00005|56|-2.1800e-02|-5.8914e-01|1.2974e+00|-1.0973e-04|8.0933e-05|1.6764e-04|
|vl|00005|58|-3.5282e-02|-5.7753e-01|1.3141e+00|-1.1499e-04|1.1233e-04|1.1183e-04|
|vl|00005|60|-4.9407e-02|-5.6220e-01|1.3241e+00|-1.2044e-04|1.4303e-04|5.5406e-05|
|vl|00005|62|-6.4196e-02|-5.4324e-01|1.3273e+00|-1.2605e-04|1.7288e-04|-1.5541e-06|
|vl|00005|64|-7.9665e-02|-5.2076e-01|1.3237e+00|-1.3178e-04|2.0170e-04|-5.8972e-05|
|vl|00005|66|-9.5824e-02|-4.9489e-01|1.3132e+00|-1.3755e-04|2.2933e-04|-1.1677e-04|
|vl|00005|68|-1.1268e-01|-4.6580e-01|1.2957e+00|-1.4331e-04|2.5559e-04|-1.7485e-04|
|vl|00005|70|-1.3021e-01|-4.3365e-01|1.2713e+00|-1.4896e-04|2.8030e-04|-2.3311e-04|
|vl|00005|72|-1.4842e-01|-3.9863e-01|1.2398e+00|-1.5441e-04|3.0328e-04|-2.9143e-04|
|vl|00005|74|-1.6726e-01|-3.6099e-01|1.2014e+00|-1.5952e-04|3.2431e-04|-3.4968e-04|
|vl|00005|76|-1.8669e-01|-3.2094e-01|1.1560e+00|-1.6416e-04|3.4319e-04|-4.0770e-04|
